from,to,weight
Platzeck,1,1
Platzeck,11,1
Pofalla,5,3
Praetorius,7,1
Praetorius,6,3
Tillich,1,1
Hasselfeldt,1,3
Hasselfeldt,10,2
Kapferer,1,2
Kapferer,2,3
Kampeter,2,3
Kampeter,10,2
Kempf,2,3
Nemat,1,3
Reiche,2,3
Reiche,9,2
Roestel,1,3
Roestel,6,3
Roestel,12,2
Schweitzer,2,3
Schweitzer,1,3
Grothus,4,3
Grothus,1,2
Wodtke,9,2
Wodtke,8,3
Herntier,1,3
Kreuzberg,9,3
Kreuzberg,1,3
Priggen,2,3
Priggen,12,2
Vassiliadis,3,3
Vassiliadis,11,2
Scheidt,3,3
Scheidt,11,2
Scheidt,6,3
Koerzell,3,3
Koerzell,11,2
Kaiser,4,3
Weiger,4,3
Niebert,4,3
Niebert,7,2
Allmendinger,7,3
Allmendinger,7,2
Matthes,7,3
Schellnhuber,7,3
Schellnhuber,7,2
Niebuhr,7,2
Werhspohn,7,3
Werhspohn,7,2
Laemmel,9,2
Laemmel,1,3
Lenz,10,2
Lenz,1,3
Miersch,11,2