id,name,sex,type,party,age
Platzeck,Platzeck,1,0,1,4
Pofalla,Pofalla,1,0,NA,4
Praetorius,Praetorius,2,0,NA,NA
Tillich,Tillich,1,0,1,4
Hasselfeldt,Hasselfeldt,2,0,2,4
Kapferer,Kapferer,1,0,2,3
Kampeter,Kampeter,1,0,2,3
Kempf,Kempf,1,0,NA,4
Nemat,Nemat,2,0,NA,3
Reiche,Reiche,2,0,NA,2
Roestel,Roestel,2,0,2,3
Schweitzer,Schweitzer,1,0,NA,3
Grothus,Grothus,2,0,NA,NA
Wodtke,Wodtke,2,0,2,NA
Herntier,Herntier,2,0,3,4
Kreuzberg,Kreuzberg,1,0,3,4
Priggen,Priggen,1,0,2,4
Vassiliadis,Vassiliadis,1,0,2,3
Scheidt,Scheidt,1,0,2,3
Koerzell,Koerzell,1,0,2,3
Kaiser,Kaiser,1,0,NA,3
Weiger,Weiger,1,0,NA,5
Niebert,Niebert,1,0,NA,1
Allmendinger,Allmendinger,2,0,NA,4
Matthes,Matthes,1,0,NA,3
Schellnhuber,Schellnhuber,1,0,NA,3
Niebuhr,Niebuhr,2,0,NA,NA
Werhspohn,Werhspohn,1,0,NA,2
Laemmel,Laemmel,1,0,3,3
Lenz,Lenz,1,0,3,1
Miersch,Miersch,1,0,2,2
1,Politik,NA,1,NA,NA
2,Verband,NA,1,NA,NA
3,Gewerkschaft,NA,1,NA,NA
4,Umweltschutz,NA,1,NA,NA
5,Industrie,NA,1,NA,NA
6,Energieunternehmen,NA,1,NA,NA
7,Wissenschaft,NA,1,NA,NA
8,Regionalvertreter,NA,1,NA,NA
9,CDU,NA,1,NA,NA
10,CSU,NA,1,NA,NA
11,SPD,NA,1,NA,NA
12,Gruene,NA,1,NA,NA